ros [ns],orocos [ms]
1452608842559910000,1452608842561
1452608842561960000,1452608842563
1452608842563920000,1452608842565
1452608842565920000,1452608842567
1452608842567920000,1452608842569
1452608842569960000,1452608842571
1452608842571910000,1452608842573
1452608842573990000,1452608842575
1452608842575930000,1452608842577
1452608842577930000,1452608842579
1452608842579960000,1452608842581
1452608842581920000,1452608842583
1452608842583920000,1452608842585
1452608842585930000,1452608842587
1452608842587930000,1452608842589
1452608842589960000,1452608842591
1452608842591910000,1452608842593
1452608842593970000,1452608842595
1452608842595930000,1452608842597
1452608842597930000,1452608842599
1452608842599960000,1452608842601
1452608842601920000,1452608842603
1452608842603910000,1452608842605
1452608842605960000,1452608842607
1452608842607910000,1452608842609
1452608842610000000,1452608842611
1452608842611900000,1452608842613
1452608842613920000,1452608842615
1452608842615920000,1452608842617
1452608842617920000,1452608842619
1452608842620000000,1452608842621
1452608842621980000,1452608842623
1452608842623970000,1452608842625
1452608842625990000,1452608842627
1452608842628000000,1452608842629
1452608842629980000,1452608842631
1452608842631980000,1452608842633
1452608842633970000,1452608842635
1452608842636000000,1452608842637
1452608842638000000,1452608842639
1452608842639980000,1452608842641
1452608842641930000,1452608842643
1452608842644080000,1452608842645
1452608842645920000,1452608842647
1452608842647920000,1452608842649
1452608842650190000,1452608842651
1452608842651960000,1452608842653
1452608842653950000,1452608842655
1452608842655960000,1452608842657
1452608842657940000,1452608842659
1452608842659980000,1452608842661
1452608842661960000,1452608842663
1452608842663950000,1452608842665
1452608842665950000,1452608842667
1452608842667940000,1452608842669
1452608842670090000,1452608842671
1452608842671950000,1452608842673
1452608842673950000,1452608842675
1452608842675950000,1452608842677
1452608842677940000,1452608842679
1452608842679980000,1452608842681
1452608842681960000,1452608842683
1452608842683950000,1452608842685
1452608842685950000,1452608842687
1452608842687940000,1452608842689
1452608842689970000,1452608842691
1452608842691960000,1452608842693
1452608842693950000,1452608842695
1452608842695960000,1452608842697
1452608842697940000,1452608842699
1452608842699970000,1452608842701
1452608842701940000,1452608842703
1452608842703940000,1452608842705
1452608842705960000,1452608842707
1452608842707940000,1452608842709
1452608842709970000,1452608842711
1452608842711960000,1452608842713
1452608842713950000,1452608842715
1452608842715960000,1452608842717
1452608842717940000,1452608842719
1452608842719970000,1452608842721
1452608842721960000,1452608842723
1452608842723950000,1452608842725
1452608842725960000,1452608842727
1452608842727940000,1452608842729
1452608842729960000,1452608842731
1452608842731960000,1452608842733
1452608842733950000,1452608842735
1452608842735950000,1452608842737
1452608842737940000,1452608842739
1452608842739970000,1452608842741
1452608842742000000,1452608842743
1452608842743950000,1452608842745
1452608842745950000,1452608842747
1452608842747940000,1452608842749
1452608842749980000,1452608842751
1452608842751960000,1452608842753
1452608842753950000,1452608842755
1452608842755950000,1452608842757
1452608842757940000,1452608842759
1452608842759970000,1452608842761
1452608842761960000,1452608842763
1452608842763950000,1452608842765
1452608842765950000,1452608842767
1452608842767940000,1452608842769
1452608842769970000,1452608842771
1452608842771950000,1452608842773
1452608842773950000,1452608842775
1452608842775950000,1452608842777
1452608842777940000,1452608842779
1452608842779980000,1452608842781
1452608842781970000,1452608842783
1452608842783950000,1452608842785
1452608842785960000,1452608842787
1452608842787940000,1452608842789
1452608842789960000,1452608842791
1452608842791960000,1452608842793
1452608842793950000,1452608842795
1452608842795950000,1452608842797
1452608842797940000,1452608842799
1452608842799970000,1452608842801
1452608842801960000,1452608842803
1452608842803940000,1452608842805
1452608842805950000,1452608842807
1452608842807950000,1452608842809
1452608842809940000,1452608842811
1452608842811970000,1452608842813
1452608842813950000,1452608842815
1452608842815950000,1452608842817
1452608842817940000,1452608842819
1452608842819970000,1452608842821
1452608842821950000,1452608842823
1452608842823950000,1452608842825
1452608842825950000,1452608842827
1452608842827940000,1452608842829
1452608842829970000,1452608842831
1452608842831960000,1452608842833
1452608842833980000,1452608842835
1452608842835950000,1452608842837
1452608842837940000,1452608842839
1452608842839970000,1452608842841
1452608842841960000,1452608842843
1452608842843950000,1452608842845
1452608842845950000,1452608842847
1452608842847940000,1452608842849
1452608842849970000,1452608842851
1452608842851960000,1452608842853
1452608842853950000,1452608842855
1452608842855950000,1452608842857
1452608842857940000,1452608842859
1452608842859970000,1452608842861
1452608842861960000,1452608842863
1452608842863950000,1452608842865
1452608842865960000,1452608842867
1452608842867940000,1452608842869
1452608842869970000,1452608842871
1452608842871960000,1452608842873
1452608842873980000,1452608842875
